Proteína,Organismo,PubChemID,Status,Fonte
Guanine nucleotide-binding protein G(s) subunit alpha isoforms short,Homo sapiens,P63092,encontrada,NCBI
Inositol monophosphatase 1,Rattus norvegicus,P97697,encontrada,NCBI
Salicylate synthase,Mycobacterium tuberculosis,P9WFX0,encontrada,NCBI
Pteridine reductase 1,Leishmania major,Q01782,encontrada,NCBI
HTRA1 protein,Homo sapiens,Q05DJ8,encontrada,NCBI
TAR DNA-binding protein 43,Homo sapiens,Q13148,encontrada,NCBI
Protein disulfide-isomerase A6,Homo sapiens,Q15084,encontrada,NCBI
"Pteridine reductase, putative",Trypanosoma brucei,Q581W1,encontrada,NCBI
Bifunctional dihydrofolate reductase-thymidylate synthase,Trypanosoma brucei,Q582G3,encontrada,NCBI
Cyclic GMP-AMP synthase,Mus musculus,Q8C6L5,encontrada,NCBI
Cyclic GMP-AMP synthase,Homo sapiens,Q8N884,encontrada,NCBI
G-protein coupled receptor 151,Homo sapiens,Q8TDV0,encontrada,NCBI
Rap guanine nucleotide exchange factor 4,Homo sapiens,Q8WZA2,encontrada,NCBI
Ataxin-2,Homo sapiens,Q99700,encontrada,NCBI
Phosphatidylinositol 4-kinase type 2-alpha,Homo sapiens,Q9BTU6,encontrada,NCBI
Sialate O-acetylesterase,Homo sapiens,Q9HAT2,encontrada,NCBI
Relaxin receptor 1,Homo sapiens,Q9HBX9,encontrada,NCBI
"NAD-dependent protein deacylase sirtuin-5, mitochondrial",Homo sapiens,Q9NXA8,encontrada,NCBI
Deoxynucleoside triphosphate triphosphohydrolase SAMHD1,Homo sapiens,Q9Y3Z3,encontrada,NCBI
phosphoglycerate kinase,Trypanosoma brucei,XP_001218773,encontrada,NCBI
"HSP40, subfamily A [Plasmodium falciparum 3D7]",Plasmodium falciparum,XP_001348533,encontrada,NCBI
"heat shock protein 90, putative",Plasmodium falciparum,XP_001348591,encontrada,NCBI
L-lactate dehydrogenase,Plasmodium falciparum,XP_001349989,encontrada,NCBI
hypothetical protein CAALFM_CR05890CA,Candida albicans,XP_711691,encontrada,NCBI
H3 histone acetyltransferase,Candida albicans,XP_718648,encontrada,NCBI
"methionyl-tRNA synthetase, putative",Trypanosoma brucei,XP_822407,encontrada,NCBI
enterobactin synthase subunit E,Acinetobacter baumannii,YP_001085402,encontrada,NCBI
toxin B,Clostridioides difficile,YP_001087135,encontrada,NCBI
botulinum neurotoxin type A,Clostridium botulinum,YP_001253342,encontrada,NCBI
MarR family regulatory protein,Staphylococcus aureus,YP_001331689,encontrada,NCBI
protein PvdQ,Pseudomonas aeruginosa,YP_002440506,encontrada,NCBI
gamma-glutamyltranspeptidase (plasmid),Bacillus anthracis,YP_016573,encontrada,NCBI
putative polyprotein,Crimean-Congo hemorrhagic,YP_325663,encontrada,NCBI
"botulinum neurotoxin type F, BoNT/F",Clostridium botulinum,ZP_02619427,encontrada,NCBI
"FMDV polyprotein, partial",Foot-and-mouth disease,AAA42670,encontrada,NCBI
,,578162,encontrada,NCBI
MULTISPECIES: oxygen response regulator transcription factor FixJ,Burkholderia,WP_006493245,encontrada,NCBI
oxygen sensor histidine kinase FixL,Burkholderia dolosa,WP_045552426,encontrada,NCBI
